timestamp,pv_Stock_market
2018-01-01,2061
2018-01-02,2742
2018-01-03,3166
2018-01-04,3235
2018-01-05,2849
2018-01-06,2569
2018-01-07,2578
2018-01-08,3141
2018-01-09,3152
2018-01-10,3157
2018-01-11,3186
2018-01-12,2876
2018-01-13,2241
2018-01-14,2177
2018-01-15,2722
2018-01-16,3095
2018-01-17,3342
2018-01-18,3445
2018-01-19,3159
2018-01-20,2350
2018-01-21,2274
2018-01-22,2798
2018-01-23,3100
2018-01-24,3170
2018-01-25,2785
2018-01-26,2371
2018-01-27,2236
2018-01-28,2236
2018-01-29,3005
2018-01-30,3227
2018-01-31,3649
2018-02-01,3040
2018-02-02,3077
2018-02-03,2724
2018-02-04,2303
2018-02-05,4200
2018-02-06,7011
2018-02-07,4626
2018-02-08,4466
2018-02-09,4039
2018-02-10,2526
2018-02-11,2359
2018-02-12,3112
2018-02-13,2573
2018-02-14,2529
2018-02-15,2683
2018-02-16,2443
2018-02-17,1982
2018-02-18,2001
2018-02-19,2428
2018-02-20,2795
2018-02-21,2782
2018-02-22,2970
2018-02-23,2684
2018-02-24,2058
2018-02-25,2104
2018-02-26,2587
2018-02-27,2550
2018-02-28,2252
2018-03-01,2186
2018-03-02,2100
2018-03-03,1708
2018-03-04,1902
2018-03-05,2335
2018-03-06,2345
2018-03-07,2532
2018-03-08,2446
2018-03-09,2283
2018-03-10,1828
2018-03-11,1890
2018-03-12,2416
2018-03-13,2328
2018-03-14,2291
2018-03-15,2782
2018-03-16,2244
2018-03-17,1697
2018-03-18,1529
2018-03-19,2025
2018-03-20,2234
2018-03-21,2292
2018-03-22,2674
2018-03-23,2320
2018-03-24,1819
2018-03-25,1531
2018-03-26,2167
2018-03-27,2202
2018-03-28,1970
2018-03-29,1973
2018-03-30,1861
2018-03-31,1546
2018-04-01,1458
2018-04-02,2109
2018-04-03,2332
2018-04-04,2347
2018-04-05,2188
2018-04-06,2283
2018-04-07,1500
2018-04-08,1545
2018-04-09,1918
2018-04-10,2036
2018-04-11,2067
2018-04-12,1953
2018-04-13,1786
2018-04-14,1840
2018-04-15,1463
2018-04-16,2445
2018-04-17,1981
2018-04-18,2129
2018-04-19,1799
2018-04-20,1710
2018-04-21,1498
2018-04-22,1361
2018-04-23,2505
2018-04-24,1781
2018-04-25,1914
2018-04-26,1925
2018-04-27,1689
2018-04-28,1406
2018-04-29,1409
2018-04-30,1776
2018-05-01,1695
2018-05-02,1885
2018-05-03,1933
2018-05-04,1829
2018-05-05,1457
2018-05-06,1862
2018-05-07,2007
2018-05-08,2093
2018-05-09,2061
2018-05-10,2032
2018-05-11,1817
2018-05-12,1368
2018-05-13,1485
2018-05-14,2003
2018-05-15,1989
2018-05-16,2096
2018-05-17,2087
2018-05-18,1802
2018-05-19,1551
2018-05-20,1440
2018-05-21,2168
2018-05-22,2068
2018-05-23,2043
2018-05-24,2070
2018-05-25,1878
2018-05-26,1531
2018-05-27,1646
2018-05-28,1986
2018-05-29,2070
2018-05-30,2057
2018-05-31,2087
2018-06-01,2005
2018-06-02,1623
2018-06-03,1485
2018-06-04,1987
2018-06-05,2041
2018-06-06,2135
2018-06-07,2118
2018-06-08,2273
2018-06-09,1731
2018-06-10,1611
2018-06-11,2195
2018-06-12,2142
2018-06-13,1978
2018-06-14,1927
2018-06-15,1862
2018-06-16,1521
2018-06-17,1552
2018-06-18,2206
2018-06-19,2171
2018-06-20,2264
2018-06-21,2203
2018-06-22,1888
2018-06-23,1797
2018-06-24,1657
2018-06-25,2124
2018-06-26,2038
2018-06-27,2080
2018-06-28,2997
2018-06-29,1956
2018-06-30,1601
2018-07-01,1694
2018-07-02,2212
2018-07-03,2087
2018-07-04,1964
2018-07-05,1988
2018-07-06,1904
2018-07-07,1768
2018-07-08,1715
2018-07-09,2221
2018-07-10,2224
2018-07-11,2200
2018-07-12,2166
2018-07-13,2092
2018-07-14,2115
2018-07-15,1758
2018-07-16,2094
2018-07-17,2237
2018-07-18,2429
2018-07-19,2174
2018-07-20,1881
2018-07-21,2045
2018-07-22,1680
2018-07-23,2113
2018-07-24,2178
2018-07-25,2327
2018-07-26,2312
2018-07-27,2174
2018-07-28,2015
2018-07-29,1872
2018-07-30,2328
2018-07-31,2375
2018-08-01,2071
2018-08-02,2191
2018-08-03,2171
2018-08-04,1898
2018-08-05,1791
2018-08-06,2350
2018-08-07,2669
2018-08-08,2336
2018-08-09,2366
2018-08-10,2082
2018-08-11,1899
2018-08-12,1962
2018-08-13,2349
2018-08-14,2025
2018-08-15,1930
2018-08-16,2103
2018-08-17,2095
2018-08-18,1708
2018-08-19,1782
2018-08-20,2265
2018-08-21,2110
2018-08-22,2178
2018-08-23,2242
2018-08-24,2070
2018-08-25,1770
2018-08-26,1675
2018-08-27,2419
2018-08-28,2848
2018-08-29,2398
2018-08-30,2397
2018-08-31,2361
2018-09-01,1825
2018-09-02,2273
2018-09-03,2181
2018-09-04,2347
2018-09-05,2420
2018-09-06,2391
2018-09-07,2177
2018-09-08,1827
2018-09-09,1985
2018-09-10,2524
2018-09-11,2476
2018-09-12,2443
2018-09-13,2217
2018-09-14,2253
2018-09-15,1951
2018-09-16,1903
2018-09-17,2313
2018-09-18,2646
2018-09-19,2531
2018-09-20,2726
2018-09-21,2531
2018-09-22,2212
2018-09-23,2018
2018-09-24,2829
2018-09-25,3014
2018-09-26,3085
2018-09-27,3231
2018-09-28,2693
2018-09-29,2152
2018-09-30,1974
2018-10-01,2423
2018-10-02,2864
2018-10-03,2834
2018-10-04,2703
2018-10-05,2801
2018-10-06,2192
2018-10-07,2171
2018-10-08,2881
2018-10-09,2510
2018-10-10,3008
2018-10-11,4089
2018-10-12,3260
2018-10-13,2119
2018-10-14,2195
2018-10-15,2971
2018-10-16,2586
2018-10-17,2680
2018-10-18,2370
2018-10-19,2540
2018-10-20,2114
2018-10-21,2257
2018-10-22,2996
2018-10-23,3027
2018-10-24,2919
2018-10-25,4311
2018-10-26,2820
2018-10-27,2482
2018-10-28,2564
2018-10-29,3476
2018-10-30,2932
2018-10-31,3034
2018-11-01,2621
2018-11-02,2586
2018-11-03,2028
2018-11-04,1820
2018-11-05,2118
2018-11-06,2921
2018-11-07,2002
2018-11-08,2131
2018-11-09,2201
2018-11-10,1864
2018-11-11,2074
2018-11-12,2500
2018-11-13,3127
2018-11-14,2444
2018-11-15,2945
2018-11-16,2654
2018-11-17,1940
2018-11-18,1920
2018-11-19,2276
2018-11-20,3304
2018-11-21,2646
2018-11-22,2302
2018-11-23,2622
2018-11-24,2038
2018-11-25,2238
2018-11-26,2647
2018-11-27,2755
2018-11-28,2651
2018-11-29,2503
2018-11-30,2295
2018-12-01,1923
2018-12-02,2084
2018-12-03,2863
2018-12-04,3573
2018-12-05,4562
2018-12-06,4615
2018-12-07,3628
2018-12-08,2551
2018-12-09,2440
2018-12-10,3489
2018-12-11,2729
2018-12-12,2921
2018-12-13,2831
2018-12-14,2988
2018-12-15,2140
2018-12-16,1958
2018-12-17,2553
2018-12-18,2560
2018-12-19,2559
2018-12-20,2459
2018-12-21,2367
2018-12-22,1969
2018-12-23,1753
2018-12-24,2572
2018-12-25,2150
2018-12-26,3124
2018-12-27,3298
2018-12-28,2739
2018-12-29,2092
2018-12-30,1760
2018-12-31,2042
2019-01-01,1818
2019-01-02,2700
2019-01-03,3322
2019-01-04,3172
2019-01-05,2157
2019-01-06,2092
2019-01-07,2546
2019-01-08,3038
2019-01-09,2719
2019-01-10,2562
2019-01-11,2370
2019-01-12,1761
2019-01-13,2007
2019-01-14,2380
2019-01-15,2347
2019-01-16,2427
2019-01-17,2828
2019-01-18,2413
2019-01-19,2001
2019-01-20,2015
2019-01-21,2330
2019-01-22,2572
2019-01-23,2717
2019-01-24,2445
2019-01-25,2321
2019-01-26,1612
2019-01-27,1840
2019-01-28,2274
2019-01-29,2384
2019-01-30,2390
2019-01-31,2657
2019-02-01,2393
2019-02-02,1834
2019-02-03,1843
2019-02-04,2196
2019-02-05,2444
2019-02-06,2427
2019-02-07,2302
2019-02-08,2024
2019-02-09,1724
2019-02-10,1658
2019-02-11,2485
2019-02-12,2324
2019-02-13,2236
2019-02-14,2050
2019-02-15,1774
2019-02-16,1655
2019-02-17,1715
2019-02-18,2051
2019-02-19,2137
2019-02-20,2216
2019-02-21,3447
2019-02-22,2271
2019-02-23,1726
2019-02-24,2180
2019-02-25,2253
2019-02-26,2822
2019-02-27,2599
2019-02-28,2188
2019-03-01,1989
2019-03-02,1615
2019-03-03,1657
2019-03-04,2179
2019-03-05,2276
2019-03-06,2322
2019-03-07,2188
2019-03-08,2001
2019-03-09,1758
2019-03-10,1637
2019-03-11,2385
2019-03-12,2348
2019-03-13,2391
2019-03-14,2349
2019-03-15,2020
2019-03-16,1667
2019-03-17,1852
2019-03-18,2232
2019-03-19,2262
2019-03-20,2020
2019-03-21,1940
2019-03-22,1969
2019-03-23,1868
2019-03-24,1674
2019-03-25,2229
2019-03-26,2290
2019-03-27,2368
2019-03-28,2320
2019-03-29,2301
2019-03-30,1768
2019-03-31,1886
2019-04-01,2553
2019-04-02,2394
2019-04-03,2282
2019-04-04,2473
2019-04-05,2169
2019-04-06,1687
2019-04-07,1486
2019-04-08,2145
2019-04-09,2209
2019-04-10,2219
2019-04-11,2100
2019-04-12,2017
2019-04-13,1545
2019-04-14,1577
2019-04-15,2358
2019-04-16,2219
2019-04-17,2163
2019-04-18,1918
2019-04-19,1798
2019-04-20,1375
2019-04-21,1424
2019-04-22,2063
2019-04-23,2010
2019-04-24,2573
2019-04-25,2405
2019-04-26,2042
2019-04-27,1537
2019-04-28,1519
2019-04-29,2148
2019-04-30,2261
2019-05-01,2009
2019-05-02,2299
2019-05-03,2221
2019-05-04,1649
2019-05-05,1589
2019-05-06,2364
2019-05-07,2656
2019-05-08,2435
2019-05-09,2263
2019-05-10,2134
2019-05-11,1700
2019-05-12,1535
2019-05-13,3103
2019-05-14,3141
2019-05-15,2635
2019-05-16,2677
2019-05-17,2432
2019-05-18,2010
2019-05-19,1730
2019-05-20,2821
2019-05-21,2621
2019-05-22,2432
2019-05-23,3239
2019-05-24,2207
2019-05-25,1749
2019-05-26,1731
2019-05-27,2189
2019-05-28,2668
2019-05-29,2404
2019-05-30,2436
2019-05-31,2458
2019-06-01,1858
2019-06-02,1828
2019-06-03,2451
2019-06-04,2493
2019-06-05,2320
2019-06-06,2303
2019-06-07,2533
2019-06-08,2081
2019-06-09,1671
2019-06-10,2352
2019-06-11,2475
2019-06-12,2506
2019-06-13,2186
2019-06-14,2095
2019-06-15,1664
2019-06-16,1710
2019-06-17,2231
2019-06-18,2315
2019-06-19,2480
2019-06-20,2420
2019-06-21,2266
2019-06-22,1905
2019-06-23,2601
2019-06-24,2234
2019-06-25,2313
2019-06-26,2330
2019-06-27,1997
2019-06-28,1970
2019-06-29,1860
2019-06-30,1538
2019-07-01,2129
2019-07-02,2033
2019-07-03,2304
2019-07-04,2226
2019-07-05,2239
2019-07-06,2027
2019-07-07,2157
2019-07-08,2311
2019-07-09,2236
2019-07-10,2101
2019-07-11,2180
2019-07-12,2253
2019-07-13,1655
2019-07-14,1675
2019-07-15,2152
2019-07-16,2247
2019-07-17,2299
2019-07-18,2504
2019-07-19,2672
2019-07-20,1683
2019-07-21,1793
2019-07-22,2402
2019-07-23,2291
2019-07-24,2544
2019-07-25,2371
2019-07-26,2120
2019-07-27,2193
2019-07-28,1894
2019-07-29,2130
2019-07-30,2424
2019-07-31,2580
2019-08-01,2185
2019-08-02,2166
2019-08-03,1777
2019-08-04,1680
2019-08-05,2439
2019-08-06,2731
2019-08-07,2553
2019-08-08,2277
2019-08-09,2037
2019-08-10,1618
2019-08-11,1544
2019-08-12,2273
2019-08-13,2120
2019-08-14,2198
2019-08-15,2275
2019-08-16,2220
2019-08-17,1671
2019-08-18,1956
2019-08-19,2274
2019-08-20,2322
2019-08-21,2284
2019-08-22,2557
2019-08-23,2601
2019-08-24,1864
2019-08-25,1907
2019-08-26,2400
2019-08-27,2560
2019-08-28,2267
2019-08-29,2301
2019-08-30,2295
2019-08-31,1767
2019-09-01,1852
2019-09-02,1869
2019-09-03,2417
2019-09-04,2365
2019-09-05,2417
2019-09-06,2152
2019-09-07,1671
2019-09-08,2290
2019-09-09,2428
2019-09-10,2450
2019-09-11,2493
2019-09-12,2399
2019-09-13,2345
2019-09-14,1752
2019-09-15,1883
2019-09-16,2571
2019-09-17,2563
2019-09-18,2587
2019-09-19,2504
2019-09-20,2625
2019-09-21,2094
2019-09-22,2260
2019-09-23,2557
2019-09-24,2785
2019-09-25,2621
2019-09-26,2646
2019-09-27,2385
2019-09-28,1883
2019-09-29,1844
2019-09-30,2352
2019-10-01,2315
2019-10-02,2659
2019-10-03,2620
2019-10-04,2742
2019-10-05,2083
2019-10-06,1629
2019-10-07,2180
2019-10-08,2235
2019-10-09,2455
2019-10-10,2550
2019-10-11,3206
2019-10-12,2178
2019-10-13,1832
2019-10-14,2248
2019-10-15,2353
2019-10-16,2478
2019-10-17,2356
2019-10-18,2164
2019-10-19,1820
2019-10-20,1908
2019-10-21,2246
2019-10-22,2346
2019-10-23,2378
2019-10-24,2235
2019-10-25,1949
2019-10-26,1578
2019-10-27,1526
2019-10-28,2062
2019-10-29,2209
2019-10-30,2218
2019-10-31,2247
2019-11-01,2022
2019-11-02,2198
2019-11-03,1795
2019-11-04,2380
2019-11-05,2539
2019-11-06,2571
2019-11-07,2572
2019-11-08,2241
2019-11-09,1960
2019-11-10,1783
2019-11-11,2386
2019-11-12,2781
2019-11-13,3297
2019-11-14,2507
2019-11-15,2069
2019-11-16,1841
2019-11-17,1789
2019-11-18,2363
2019-11-19,2473
2019-11-20,2468
2019-11-21,2291
2019-11-22,2313
2019-11-23,2088
2019-11-24,1719
2019-11-25,2331
2019-11-26,2294
2019-11-27,2436
2019-11-28,2226
2019-11-29,2269
2019-11-30,1978
2019-12-01,2286
2019-12-02,2935
2019-12-03,2909
2019-12-04,2720
2019-12-05,2356
2019-12-06,2395
2019-12-07,2122
2019-12-08,2310
2019-12-09,2571
2019-12-10,2508
2019-12-11,2304
2019-12-12,2471
2019-12-13,2669
2019-12-14,1796
2019-12-15,1830
2019-12-16,2370
2019-12-17,2826
2019-12-18,3645
2019-12-19,2708
2019-12-20,2175
2019-12-21,1784
2019-12-22,1721
2019-12-23,2196
2019-12-24,2197
2019-12-25,1688
2019-12-26,2197
2019-12-27,2257
2019-12-28,2034
2019-12-29,1888
2019-12-30,2279
2019-12-31,2318
2020-01-01,1781
2020-01-02,2480
2020-01-03,3066
2020-01-04,2400
2020-01-05,2166
2020-01-06,2913
2020-01-07,2734
2020-01-08,3384
2020-01-09,2913
2020-01-10,2868
2020-01-11,2051
